Amazon_URL,Asin,Price,MOQ,QTY,UPC,Cost,Vendor,Lead Time,Exp Date,FOB,Vendor_ID,Profit/MOQ,Image URL,Title,Category,Out of Stock,Walmart URL,EBAY URL
https://www.amazon.com/Eylure-PROMAGNETIC-Eyeliner-Natural-Eyelashes/dp/B0D1G3STQY/ref,B0D1G3STQY,9,120,720,,7,Bulk,10-14 Days,,,,180,https://m.media-amazon.com/images/I/51yfkc7SpaL.jpg,"Eylure PROMAGNETIC Eyeliner & Lash Kit, No 007 Natural Fiber Eyelashes, Black (Pack of 2)",Beauty & Personal Care,t,,
https://www.amazon.com/dp/B082N6NTN7?th=1,B082N6NTN7,6,300,3000,,4,Bulk,10-14 Days,,,,600,https://m.media-amazon.com/images/I/81t1K9BB70L._AC_SL1500_.jpg,"SHARPIE Rollerball Pen, Arrow Point (0.7mm) Pen for Bold Lines, Red Ink, 12 Count",Office Products,t,https://www.walmart.com/ip/Sharpie-Rollerball-Pen-Arrow-Point-0-7mm-Pen-for-Bold-Lines-Red-Ink-12-Count/217969927?classType=REGULAR&from=/search&clickid=1zNxyNWxnxyKWsb2KKXrE3p0UkCVk325yW5aUY0&irgwc=1&sourceid=imp_1zNxyNWxnxyKWsb2KKXrE3p0UkCVk325yW5aUY0&veh=aff&wmlspartner=imp_27795&affiliates_ad_id=612734&campaign_id=9383&sharedid=3045,
https://www.amazon.com/Aesop-Resurrection-Rinse-Free-Hand-500mL/dp/B09JTSVZQG/ref,B09JTSVZQG,23,342,342,,22,Bulk,10-14 Days,,,,342,https://m.media-amazon.com/images/I/71PLjgvwonL._SL1500_.jpg,Aesop Resurrection Rinse-Free Hand Wash | Cleanse and Hydrate Without Water | Alcohol Based Formulation | 16.9 oz,Beauty & Personal Care,f,https://www.walmart.com/ip/Aesop-Resurrection-Rinse-Free-Hand-Wash-16-9-fl-oz-with-Pump-NWOB/2413298466?classType=VARIANT&from=/search&clickid=1zNxyNWxnxyKWsb2KKXrE3p0UkCVk32NyW5aUY0&irgwc=1&sourceid=imp_1zNxyNWxnxyKWsb2KKXrE3p0UkCVk32NyW5aUY0&veh=aff&wmlspartner=imp_27795&affiliates_ad_id=612734&campaign_id=9383&sharedid=3045,
https://www.amazon.com/dp/B007JZ1M10?ref=undefined&th=1,B007JZ1M10,71,120,120,,65,123,3-5 Days,,FOB NJ,,720,https://m.media-amazon.com/images/I/71dnXMFi53L._SL1500_.jpg,"3M Full Facepiece Reusable Respirator 6900, NIOSH, Large Lens, ANSI High Impact Eye Protection, Silicone Face Seal, Four-Point Harness, Comfortable Fit, Painting, Dust, Chemicals, Large",,f,https://www.walmart.com/ip/Full-Facepiece-Reusable-Respirator-6900-NIOSH-Large-Lens-ANSI-High-Impact-Eye-Protection-Silicone-Face-Seal-Four-Point-Harness-Comfortable-Fit-Painti/9212107293?classType=REGULAR&from=/search&clickid=1zNxyNWxnxyKWsb2KKXrE3p0UkCVkCSxyW5aUY0&irgwc=1&sourceid=imp_1zNxyNWxnxyKWsb2KKXrE3p0UkCVkCSxyW5aUY0&veh=aff&wmlspartner=imp_27795&affiliates_ad_id=612734&campaign_id=9383&sharedid=3045,
https://www.amazon.com/dp/B00125PS5Y?ref=cm_sw_r_mwn_dp_98HDP9HVFPC8DPYTQHT5&ref_=cm_sw_r_mwn_dp_98HDP9HVFPC8DPYTQHT5&social_share=cm_sw_r_mwn_dp_98HDP9HVFPC8DPYTQHT5&peakEvent=5&dealEvent=0&language=en-US&skipTwisterOG=1,B00125PS5Y,14,576,2736,,13,123,3-5 Days,,FOB CA,,576,https://m.media-amazon.com/images/I/71Mly86kcZL._AC_SL1500_.jpg,"Scotch Painter's Tape 1.41 inches Original Multi-Surface Painter's Tape, x 60 yards (360 yards total), 2090, 6 Rolls, Blue, 6 Foot",Tools & Home Improvement,f,,
https://www.amazon.com/dp/B08Z61XL6V?utm_source=BenchmarkEmail&utm_campaign=Fire_Blanket_-_Allied&utm_medium=email,B08Z61XL6V,10,1000,5000,,7,Bulk,10-14 Days,,,,2500,https://m.media-amazon.com/images/I/71velHHmN+L._AC_SL1500_.jpg,Mart Cobra Emergency Fire Blanket for Home and Kitchen - 2 Pack - Fire Blankets Emergency for Home 40â€  x 40â€  - Fire Suppression Blanket - Home Safety,Tools & Home Improvement,t,https://www.walmart.com/ip/Mart-Cobra-Emergency-Fire-Blanket-Home-Kitchen-Easy-Carry-40-x-Suppression-Can-Fit-Survival-Kits-Camping-Gears-Made-100-Fiberglass-Fabric-1-Pack/5409569503?classType=REGULAR&from=/search&clickid=1zNxyNWxnxyKWsb2KKXrE3p0UkCVg7zdyW5aUY0&irgwc=1&sourceid=imp_1zNxyNWxnxyKWsb2KKXrE3p0UkCVg7zdyW5aUY0&veh=aff&wmlspartner=imp_27795&affiliates_ad_id=612734&campaign_id=9383&sharedid=3045,
https://www.amazon.com/dp/B00BM1WKT0,B00BM1WKT0,18,1000,1000,,17,Bulk,7-10 Days,,,,1000,https://m.media-amazon.com/images/I/41q2S2dba7L._SL800_.jpg,Radiant Creamy Concealer - Vanilla by NARS for Women - 0.22 oz Concealer,Beauty & Personal Care,f,,
https://www.amazon.com/dp/B0193YG8GI,B0193YG8GI,6,192,768,,5,DA,2-3 Days,,FOB NJ,,192,https://m.media-amazon.com/images/I/71DzMy2NbKL._AC_SL1500_.jpg,"Jungle Gym Kingdom Swing Sets for Backyard, Monkey Bars & Swingset Accessories - Set Includes 18"" Trapeze Swing Bar & 48"" Heavy Duty Chain with Locking Carabiners - Outdoor Play Equipment (Green)",Toys & Games,f,https://www.walmart.com/ip/Jungle-Gym-Kingdom-18-Steel-Trapeze-Swing-Bar-with-Rings-36-Heavy-Duty-Chain-Swing-Set-Accessories-Green/966999289,
https://www.amazon.com/dp/B07TKHLMJM?th=1,B07TKHLMJM,7,192,768,,5,DA,2-3 Days,,FOB NJ,,288,https://m.media-amazon.com/images/I/71Feh1pmfVL._AC_SL1500_.jpg,Jungle Gym Kingdom Swing for Outdoor Swing Set - Pack of 1 Swing Seat Replacement Kit with Heavy Duty Chains - Backyard Swingset Playground Accessories for Kids (Pink),Toys & Games,f,,
https://www.amazon.com/dp/B07GPXQTBR?th=1,B07GPXQTBR,40,120,240,,30,DTG,2-3 Days,,FOB NJ,,1200,https://m.media-amazon.com/images/I/81SXo57cm0L._AC_SL1500_.jpg,"VYBE Percussion Massage Gun - V2-6 Speed Percussion Massager Guns w/ 3 Attachments for Deep Tissue Muscle Therapy - Electric, Handheld, Cordless, Adjustable Arm",Health & Household,t,,
